,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
91,91,92,5,100.0,L_11l_ROI_L,parc_4,L_11l_ROI,11l_L
92,92,93,5,100.0,L_13l_ROI_L,parc_4,L_13l_ROI,13l_L
93,93,94,5,100.0,L_OFC_ROI_L,parc_4,L_OFC_ROI,OFC_L
94,94,95,5,90.0958466453674,L_47s_ROI_L,parc_4,L_47s_ROI,47s_L
95,95,96,4,98.8617886178862,L_LIPd_ROI_L,parc_3,L_LIPd_ROI,LIPd_L
96,96,97,3,73.6543909348442,L_6a_ROI_L,parc_2,L_6a_ROI,6a_L
97,97,98,3,100.0,L_i6-8_ROI_L,parc_2,L_i6-8_ROI,i6-8_L
98,98,99,3,100.0,L_s6-8_ROI_L,parc_2,L_s6-8_ROI,s6-8_L
99,99,100,3,100.0,L_43_ROI_L,parc_2,L_43_ROI,43_L
100,100,101,6,40.0221729490022,L_OP4_ROI_L,parc_5,L_OP4_ROI,OP4_L
101,101,102,4,100.0,L_OP1_ROI_L,parc_3,L_OP1_ROI,OP1_L
102,102,103,4,91.1278195488722,L_OP2-3_ROI_L,parc_3,L_OP2-3_ROI,OP2-3_L
103,103,104,8,75.34516765286,L_52_ROI_L,parc_7,L_52_ROI,52_L
104,104,105,4,75.027502750275,L_RI_ROI_L,parc_3,L_RI_ROI,RI_L
105,105,106,4,95.2871870397643,L_PFcm_ROI_L,parc_3,L_PFcm_ROI,PFcm_L
106,106,107,8,100.0,L_PoI2_ROI_L,parc_7,L_PoI2_ROI,PoI2_L
107,107,108,4,73.6694677871149,L_TA2_ROI_L,parc_3,L_TA2_ROI,TA2_L
108,108,109,3,70.7584830339321,L_FOP4_ROI_L,parc_2,L_FOP4_ROI,FOP4_L
109,109,110,8,100.0,L_MI_ROI_L,parc_7,L_MI_ROI,MI_L
110,110,111,7,37.8176382660688,L_Pir_ROI_L,parc_6,L_Pir_ROI,Pir_L
111,111,112,8,54.7486033519553,L_AVI_ROI_L,parc_7,L_AVI_ROI,AVI_L
112,112,113,8,92.7911275415896,L_AAIC_ROI_L,parc_7,L_AAIC_ROI,AAIC_L
113,113,114,3,100.0,L_FOP1_ROI_L,parc_2,L_FOP1_ROI,FOP1_L
114,114,115,8,62.5968992248062,L_FOP3_ROI_L,parc_7,L_FOP3_ROI,FOP3_L
115,115,116,3,94.75,L_FOP2_ROI_L,parc_2,L_FOP2_ROI,FOP2_L
116,116,117,4,100.0,L_PFt_ROI_L,parc_3,L_PFt_ROI,PFt_L
117,117,118,4,100.0,L_AIP_ROI_L,parc_3,L_AIP_ROI,AIP_L
118,118,119,7,98.1260647359455,L_EC_ROI_L,parc_6,L_EC_ROI,EC_L
119,119,120,7,77.9111644657863,L_PreS_ROI_L,parc_6,L_PreS_ROI,PreS_L
120,120,121,1,87.3517786561265,L_H_ROI_L,parc_0,L_H_ROI,H_L
121,121,122,6,100.0,L_ProS_ROI_L,parc_5,L_ProS_ROI,ProS_L
122,122,123,7,63.8621794871795,L_PeEc_ROI_L,parc_6,L_PeEc_ROI,PeEc_L
123,123,124,7,57.8778135048232,L_STGa_ROI_L,parc_6,L_STGa_ROI,STGa_L
124,124,125,4,51.2751677852349,L_PBelt_ROI_L,parc_3,L_PBelt_ROI,PBelt_L
125,125,126,3,55.8423913043478,L_A5_ROI_L,parc_2,L_A5_ROI,A5_L
126,126,127,7,79.0923824959481,L_PHA1_ROI_L,parc_6,L_PHA1_ROI,PHA1_L
127,127,128,3,83.2402234636871,L_PHA3_ROI_L,parc_2,L_PHA3_ROI,PHA3_L
128,128,129,4,71.9435736677116,L_STSda_ROI_L,parc_3,L_STSda_ROI,STSda_L
129,129,130,3,100.0,L_STSdp_ROI_L,parc_2,L_STSdp_ROI,STSdp_L
130,130,131,3,100.0,L_STSvp_ROI_L,parc_2,L_STSvp_ROI,STSvp_L
131,131,132,7,95.7683741648107,L_TGd_ROI_L,parc_6,L_TGd_ROI,TGd_L
132,132,133,3,100.0,L_TE1a_ROI_L,parc_2,L_TE1a_ROI,TE1a_L
133,133,134,3,100.0,L_TE1p_ROI_L,parc_2,L_TE1p_ROI,TE1p_L
134,134,135,3,99.9174236168456,L_TE2a_ROI_L,parc_2,L_TE2a_ROI,TE2a_L
135,135,136,3,97.9228486646884,L_TF_ROI_L,parc_2,L_TF_ROI,TF_L
136,136,137,3,100.0,L_TE2p_ROI_L,parc_2,L_TE2p_ROI,TE2p_L
137,137,138,3,94.1379310344828,L_PHT_ROI_L,parc_2,L_PHT_ROI,PHT_L
138,138,139,5,57.0289132602193,L_PH_ROI_L,parc_4,L_PH_ROI,PH_L
139,139,140,3,100.0,L_TPOJ1_ROI_L,parc_2,L_TPOJ1_ROI,TPOJ1_L
140,140,141,3,58.1239530988275,L_TPOJ2_ROI_L,parc_2,L_TPOJ2_ROI,TPOJ2_L
141,141,142,5,66.0,L_TPOJ3_ROI_L,parc_4,L_TPOJ3_ROI,TPOJ3_L
142,142,143,3,69.0406976744186,L_DVT_ROI_L,parc_2,L_DVT_ROI,DVT_L
143,143,144,4,98.955223880597,L_PGp_ROI_L,parc_3,L_PGp_ROI,PGp_L
144,144,145,4,100.0,L_IP2_ROI_L,parc_3,L_IP2_ROI,IP2_L
145,145,146,4,89.6214896214896,L_IP1_ROI_L,parc_3,L_IP1_ROI,IP1_L
146,146,147,4,81.7490494296578,L_IP0_ROI_L,parc_3,L_IP0_ROI,IP0_L
147,147,148,4,77.8307508939213,L_PFop_ROI_L,parc_3,L_PFop_ROI,PFop_L
